We gratefully acknowledge the authors, originating and submitting laboratories of the sequences from GISAID’s EpiFlu™ Database on which this research is based. The list is detailed below.
All submitters of data may be contacted directly via www.gisaid.org
Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_413604	hCoV-19/Finland/FIN03032020C/2020	Europe / Finland / Helsinki	2020-03-03	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland 	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_414936	hCoV-19/Shandong/LY003/2020	Asia / China / Shandong	2020-01-23	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Xiao-Li Zhang, Xiang-Na Zhao, Cun-Bao Li, Jie Lei, Zeng-Qiang Kou, Wen-Kui Sun, Yang Hang, Feng Gao, Sheng-Xiang Ji, Can-Fang Lin, Bo Pang, Ming-Xiao Yao, Guo-Lin Wang, Lin Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_413605	hCoV-19/Finland/FIN01032020/2020	Europe / Finland / Helsinki	2020-03-01	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_413606	hCoV-19/USA/CruiseA-1/2020	North America / USA	2020-02-17	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_414938	hCoV-19/Shandong/LY005/2020	Asia / China / Shandong	2020-01-24	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Xiao-Li Zhang, Xiang-Na Zhao, Cun-Bao Li, Jie Lei, Zeng-Qiang Kou, Wen-Kui Sun, Yang Hang, Feng Gao, Sheng-Xiang Ji, Can-Fang Lin, Bo Pang, Ming-Xiao Yao, Guo-Lin Wang, Lin Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_413607	hCoV-19/USA/CruiseA-2/2020	North America / USA	2020-02-18	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_414937	hCoV-19/Shandong/LY004/2020	Asia / China / Shandong	2020-01-26	Shandong Provincial Center for Disease Control and Prevention	Beijing Institute of Microbiology and Epidemiology	Xiao-Lin Jiang, Xiao-Li Zhang, Xiang-Na Zhao, Cun-Bao Li, Jie Lei, Zeng-Qiang Kou, Wen-Kui Sun, Yang Hang, Feng Gao, Sheng-Xiang Ji, Can-Fang Lin, Bo Pang, Ming-Xiao Yao, Guo-Lin Wang, Lin Yao, Li-Jun Duan, Xiao Wei, Dian-Ming Kang, Mai-Juan Ma
EPI_ISL_413608	hCoV-19/USA/CruiseA-3/2020	North America / USA	2020-02-18	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_413609	hCoV-19/USA/CruiseA-4/2020	North America / USA	2020-02-21	unknown	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Ying Tao, Clinton R. Paden, Krista Queen, Jing Zhang, Yan Li, Mary S. Keckler, Alison S Laufer Halpin, Haibin Wang, Jasmine Padilla, Justin Lee, Christopher A. Elkins, Susan I. Gerber, Suxiang Tong
EPI_ISL_421229	hCoV-19/Hangzhou/HZCDC0090L/2020	Asia / China / Hangzhou	2020-01-21	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_421227	hCoV-19/Hangzhou/HZCDC0091L/2020	Asia / China / Hangzhou	2020-01-21	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_422558	hCoV-19/USA/NY-PV09304/2020	North America / USA / New York / Brooklyn	2020-03-21	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_421228	hCoV-19/Hangzhou/HZCDC0091/2020	Asia / China / Hangzhou	2020-01-21	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_422559	hCoV-19/USA/NY-PV09305/2020	North America / USA / New York / Brooklyn	2020-03-22	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_421225	hCoV-19/Hangzhou/HZCDC0135/2020	Asia / China / Hangzhou	2020-01-22	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_422556	hCoV-19/USA/NY-PV09301/2020	North America / USA / New York / Brooklyn	2020-03-21	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_421226	hCoV-19/Hangzhou/HZCDC0119/2020	Asia / China / Hangzhou	2020-01-22	Hangzhou Center for Diseases Control and Prevention	Hangzhou Center for Diseases Control and Prevention	Jun Li, Haoqiu Wang, Lingfeng Mao, Hua Yu, Xinfen Yu, Zhou Sun, Xin Qian, Shuchang Chen, Junfang Chen, Xuchu Wang
EPI_ISL_422557	hCoV-19/USA/NY-PV09303/2020	North America / USA / New York / Manhattan	2020-03-21	MSHS Clinical Microbiology Laboratories	MSHS Pathogen Surveillance Program	Ana S. Gonzalez-Reiche, Mitchell Sullivan, Ajay Obla, Gopi Patel, Emilia Sordillo, Melissa Gitman, Alberto Paniz-mondolfi, Matthew Hernandez, Shelcie Fabre, Jose Polanco, Zenab Khan, Bremy Albuquerque, Jayeeta Dutta, Juan Soto, Shwetha Sridhar Hara, Ying-Chih Wang, Melissa Smith, Robert Sebra, Lisa Miorin, Wen-chun Liu, Randy Albrecht, Judith Aberg, Florian Krammer, Adolfo Garcia-Sarstre, Viviana Simon, Harm van Bakel
EPI_ISL_421261	hCoV-19/Nanchang/JX176/2020	Asia / China / Jiangxi / Nanchang	2020-01-29	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421262	hCoV-19/Nanchang/JX155/2020	Asia / China / Jiangxi / Nanchang	2020-01-29	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421260	hCoV-19/Xinyu/JX124/2020	Asia / China / Jiangxi / Xinyu	2020-01-26	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421258	hCoV-19/Shangrao/JX1974/2020	Asia / China / Jiangxi / Shangrao	2020-02-08	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421259	hCoV-19/Pingxiang/JX151/2020	Asia / China / Jiangxi / Pingxiang	2020-01-27	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421256	hCoV-19/Jian/JX169/2020	Asia / China / Jiangxi / Jian	2020-01-27	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421257	hCoV-19/Shangrao/JX1215/2020	Asia / China / Jiangxi / Shangrao	2020-02-02	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421254	hCoV-19/Shangrao/JX1178/2020	Asia / China / Jiangxi / Shangrao	2020-02-03	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421252	hCoV-19/Pingxiang/JX5/2020	Asia / China / Jiangxi / Pingxiang	2020-01-11	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421253	hCoV-19/Jian/JX129/2020	Asia / China / Jiangxi / Jian	2020-01-26	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421250	hCoV-19/Shangrao/JX1177/2020	Asia / China / Jiangxi / Shangrao	2020-02-03	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421251	hCoV-19/Shangrao/JX1176/2020	Asia / China / Jiangxi / Shangrao	2020-02-03	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421249	hCoV-19/Xinyu/JX122/2020	Asia / China / Jiangxi / Xinyu	2020-01-25	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421247	hCoV-19/Nanchang/JX149/2020	Asia / China / Jiangxi / Nanchang	2020-01-27	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421248	hCoV-19/Nanchang/JX39/2020	Asia / China / Jiangxi / Nanchang	2020-01-23	Jiangxi Province Center for Disease Control and Prevention	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li,Ying Xiong,Tian Gong,Yong Shi,Jun Zhou,Fang Xiao,ShiWen Liu,XiaoQing Liu,Gang Xu,DaJin Xiao,Xin Ran,YanNi Zhang
EPI_ISL_421289	hCoV-19/USA/WI-31/2020	North America / USA / Wisconsin	2020-03-25	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421287	hCoV-19/USA/WI-29/2020	North America / USA / Wisconsin	2020-03-24	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421288	hCoV-19/USA/WI-30/2020	North America / USA / Wisconsin	2020-03-26	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421285	hCoV-19/USA/WI-27/2020	North America / USA / Wisconsin	2020-03-25	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421286	hCoV-19/USA/WI-28/2020	North America / USA / Wisconsin	2020-03-25	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421283	hCoV-19/USA/WI-25/2020	North America / USA / Wisconsin	2020-03-23	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421284	hCoV-19/USA/WI-26/2020	North America / USA / Wisconsin	2020-03-24	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421281	hCoV-19/USA/IN-Lilly-IPB0170-4bc21/2020	North America / USA / Indiana / Indianapolis	2020-03-19	Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories	Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories	Tim Holzer, Mayuri Vaidya, Angie Fulford, Sam McNeely, Rachael Redmond, Phil Ebert, John Calley, Leslie O’Neill Reising, Pat Finnegan, Erin Wray, John McElwee, Jeff Fill, Joe Oakley, Andrew Schade
EPI_ISL_421279	hCoV-19/USA/IN-Lilly-IPB0170-4bc20/2020	North America / USA / Indiana / Indianapolis	2020-03-19	Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories 	Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories 	Tim Holzer, Mayuri Vaidya, Angie Fulford, Sam McNeely, Rachael Redmond, Phil Ebert, John Calley, Leslie O’Neill Reising, Pat Finnegan, Erin Wray, John McElwee, Jeff Fill, Joe Oakley, Andrew Schade
EPI_ISL_421275	hCoV-19/Russia/Moscow_PMVL-1/2020	Europe / Russia / Moscow	2020-03-18	Russian State Collection of Viruses	Pathogenic Microorganisms Variability Laboratory	Alexey Shchetinin, Maria Nikiforova, Nadezhda Kuznetsova, Ekaterina Aksenova, Marina Kunda, Natalia Ryzhova, Olga Voronina, Inna Dolzhikova, Daria Grousova, Andrey Botikov, Denis Logunov, Alexander Gintsburg, Vladimir Gushchin
EPI_ISL_421272	hCoV-19/USA/WY-WYPHL001/2020	North America / USA / Wyoming	2020-03-10	Wyoming Public Health Laboratory	Center for Global Health, University of New Mexico Health Sciences Center	Daryl Domman, Kurt Schwalm, Rob Christensen, Wanda Manley, Cari Sloma, Noah Hull, Darrell Dinwiddie
EPI_ISL_413650	hCoV-19/USA/WA15-UW11/2020	North America / USA / Washington	2020-03-05	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413651	hCoV-19/USA/WA16-UW12/2020	North America / USA / Washington	2020-03-05	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413652	hCoV-19/USA/WA17-UW13/2020	North America / USA / Washington	2020-03-05	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413653	hCoV-19/USA/WA18-UW14/2020	North America / USA / Washington	2020-03-05	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_413647	hCoV-19/Portugal/CV62/2020	Europe / Portugal	2020-03-01	Centro Hospital do Porto, E.P.E. - H. Geral de Santo Antonio	Instituto Nacional de Saude (INSA)	Raquel Guiomar, Inês Costa, Pedro Pechirra, Joana Mendonça, Luís Vieira, Helena Ramos, Joana Isidro, Vítor Borges, João Paulo Gomes
EPI_ISL_413648	hCoV-19/Portugal/CV63/2020	Europe / Portugal	2020-03-01	Centro Hospitalar e Universitário de Sao Joao, Porto	Instituto Nacional de Saude (INSA)	Raquel Guiomar, Inês Costa, Pedro Pechirra, Joana Mendonça, Luís Vieira, João Tiago Guimarães, Joana Isidro, Vítor Borges, João Paulo Gomes
EPI_ISL_413649	hCoV-19/USA/WA14-UW10/2020	North America / USA / Washington	2020-03-05	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416710	hCoV-19/USA/WA-UW172/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416713	hCoV-19/USA/WA-UW175/2020	North America / USA / Washington	2020-03-15	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416714	hCoV-19/USA/WA-UW176/2020	North America / USA / Washington	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416711	hCoV-19/USA/WA-UW173/2020	North America / USA / Washington	2020-03-15	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416712	hCoV-19/USA/WA-UW174/2020	North America / USA / Washington	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416706	hCoV-19/USA/WA-UW168/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416707	hCoV-19/USA/WA-UW169/2020	North America / USA / Washington	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416704	hCoV-19/USA/WA-UW166/2020	North America / USA / Washington	2020-03-15	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416705	hCoV-19/USA/WA-UW167/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416708	hCoV-19/USA/WA-UW170/2020	North America / USA / Washington	2020-03-14	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416709	hCoV-19/USA/WA-UW171/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_421298	hCoV-19/USA/WI-40/2020	North America / USA / Wisconsin	2020-03-24	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421299	hCoV-19/USA/WI-41/2020	North America / USA / Wisconsin	2020-03-25	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421296	hCoV-19/USA/WI-38/2020	North America / USA / Wisconsin	2020-03-25	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421297	hCoV-19/USA/WI-39/2020	North America / USA / Wisconsin	2020-03-22	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421294	hCoV-19/USA/WI-36/2020	North America / USA / Wisconsin	2020-03-25	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421295	hCoV-19/USA/WI-37/2020	North America / USA / Wisconsin	2020-03-22	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421292	hCoV-19/USA/WI-34/2020	North America / USA / Wisconsin	2020-03-26	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421293	hCoV-19/USA/WI-35/2020	North America / USA / Wisconsin	2020-03-24	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421290	hCoV-19/USA/WI-32/2020	North America / USA / Wisconsin	2020-03-24	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_421291	hCoV-19/USA/WI-33/2020	North America / USA / Wisconsin	2020-03-23	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	University of Wisconsin-Madison AIDS Vaccine Research Laboratories	Gage Moreno, Katarina Braun
EPI_ISL_416702	hCoV-19/USA/WA-UW164/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416703	hCoV-19/USA/WA-UW165/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416700	hCoV-19/USA/WA-UW162/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_416701	hCoV-19/USA/WA-UW163/2020	North America / USA / Washington	2020-03-13	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury, Hong Xie, Keith Jerome, Alexander Greninger
EPI_ISL_418231	hCoV-19/France/HF2496/2020	Europe / France / Hauts de France / Compiègne	2020-03-15	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Raulin Olivia
EPI_ISL_419562	hCoV-19/Luxembourg/LNS0000001/2020	Europe / Luxembourg	2020-02-29	Laboratoire National de Santé, Microbiology, Virology	Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics	Anke Wienecke-Baldacchino, Ardashel Latsuzbaia, Jessica Tapp, Catherine Ragimbeau, Guillaume Fournier, Tamir Abdelrahman, Trung Nguyen Nguyen, Joel Mossong
EPI_ISL_420551	hCoV-19/India/777/2020	Asia / India	2020-03-03	National Influenza Center, Indian Council of Medical Research - National Institute of Virology	Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex	Pragya D. Yadav. Savita Patil, Varsha Potdar, Prasad Sarkale, Dimpal A. Nyayanit, Gajanan Sapkal, Anita M. Shete, Atanu Basu, Lalit Dar, M Choudhary, Amita Jain, Bharati Malhotra, Pranita Gawande, Sarah Cherian, Priya Abraham
EPI_ISL_421883	hCoV-19/England/20139022004/2020	Europe / United Kingdom / England	2020-03-27	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Richard Myers, Steven Platt, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_418230	hCoV-19/France/IDF2420/2020	Europe / France / Ile de France / Paris	2020-03-13	Clinique AVERAY LA BROUSTE, Med. Polyvalente	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Etienne Simon-Lorière, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Elsa Ngwem
